cell,formula,cached_value
B1,,Project: 
B2,,Tricore   -
B3,,Stage 1 Version 1
A4,,Item  
A7,,A
B7,,PRELIMINARIES
B8,,SUMMARY (Not added in prelim$)
C9,=[1]Program_MASTER!$B$102,TOTAL Days Mobilized On Site
C10,=[1]Program_MASTER!B103,Months Mobilized
C11,=[1]Program_MASTER!B104,Work Weeks' Mobilized On Site
C12,=[1]Program_MASTER!B105,Work Days
C13,,Breakdown as per program
B14,='LabourProject Rates_Master'!$B$14,TRADESMAN_LEADING HAND
C14,,Day
E14,=E36,1231.142857142857
F14,=D14*E14,0
B15,='LabourProject Rates_Master'!$B$23,TRADESMAN_PLUMBER_OPERATOR
C15,,Day
E15,=E37,941.1647284878864
F15,=D15*E15,0
B16,='LabourProject Rates_Master'!$B$30,T/A & Apprentice
C16,,Day
E16,=E38,768.0650793650794
F16,=D16*E16,0
B17,='LabourProject Rates_Master'!$B$36,Crew #1 - InGround Drainage
C17,,Day
E17,=E39,2650.394536340852
F17,=D17*E17,0
B18,='LabourProject Rates_Master'!$B$43,Crew #2 - InGround Water/Fire
C18,,Day
E18,=E40,2650.394536340852
F18,=D18*E18,0
E19,,Total Labour
F19,=SUM(F14:F18),0
C20,,Total as per stage boq
E21,,Total Part A Labour
F21,,0
E22,,Total Stage 1 Labour
F22,,0
E23,,Total Stage 2 Labour
F23,,0
E24,,Total Stage 3 Labour
F24,,0
E25,,Total Stage 4 Labour
F25,,0
F26,=SUM(F21:F25),0
E27,,Difference
F27,=F26-F19,0
C29,,Unit
D29,,REQ
E29,,Cost ex GST
F29,,Total ex GST
B30,,Labour
B33,,Contingencies; Wet Weather ?
B35,,"Superviser; Return Trip, 2 day stay - Inclusive"
C35,,item
E35,,2423.8309956709954
F35,=D35*E35,0
B36,='LabourProject Rates_Master'!$B$14,TRADESMAN_LEADING HAND
C36,,Day
E36,='LabourProject Rates_Master'!$E$15,1231.142857142857
F36,=E36*D36,0
B37,='LabourProject Rates_Master'!$B$23,TRADESMAN_PLUMBER_OPERATOR
C37,,Day
E37,='LabourProject Rates_Master'!$E$22,941.1647284878864
F37,=E37*D37,0
B38,='LabourProject Rates_Master'!$B$30,T/A & Apprentice
C38,,Day
E38,='LabourProject Rates_Master'!$E$29,768.0650793650794
F38,=E38*D38,0
B39,='LabourProject Rates_Master'!$B$36,Crew #1 - InGround Drainage
C39,,Day
E39,='LabourProject Rates_Master'!$E$37,2650.394536340852
